,title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,open_to_hire_ukrainians,id,display_offer,employment_types,company_logo_url,skills,remote,multilocation,way_of_apply
0,UX Researcher,Grunwaldzka 411,Gdańsk,PL,"Grunwaldzka 411, Gdańsk",ux,partly_remote,Dynatrace Sp. z o.o.,http://dynatrace.careers.com,800+,senior,54.3993447,18.5765618,2022-05-22T22:01:40.617Z,True,True,dynatrace-sp-z-o-o-ux-researcher,True,"[{'type': 'permanent', 'salary': {'from': 16000, 'to': 20000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/28f571e2c0380d7c4aeda327396c8a144b3753f3.png?1653256818,"[{'name': 'people-focused design mindset', 'level': 4}, {'name': 'UX Research', 'level': 4}, {'name': 'English skills', 'level': 5}]",False,"[{'city': 'Gdańsk', 'street': 'Grunwaldzka 411', 'slug': 'dynatrace-sp-z-o-o-ux-researcher'}]",redirect
1,Agile Coach / Scrum Master,Radzikowskiego 47d,Kraków,PL,"Radzikowskiego 47d, Kraków",pm,partly_remote,AVSystem,https://www.avsystem.com/,180,senior,50.083418,19.9012822,2022-05-22T21:29:19.887Z,True,False,avsystem-agile-coach-scrum-master,True,"[{'type': 'b2b', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/13289c2ec8645e361eef0edd7a3a33184cb0c235.jpg?1653056419,"[{'name': 'Agile', 'level': 4}, {'name': 'Scrum Master', 'level': 4}, {'name': 'Kanban', 'level': 4}]",False,"[{'city': 'Kraków', 'street': 'Radzikowskiego 47d', 'slug': 'avsystem-agile-coach-scrum-master'}]",form
2,Senior Business Analyst,Mokotowska 1,Warszawa,PL,"Mokotowska 1, Warszawa",analytics,remote,hubQuest,https://hubquest.pl/,30+,senior,52.2177616,21.0157913,2022-05-22T16:05:55.736Z,True,True,hubquest-senior-business-analyst,True,"[{'type': 'b2b', 'salary': {'from': 18000, 'to': 25000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/64bfe496d2e9c83df341cb86357189bd4cef5b2c.png?1647880470,"[{'name': 'DWH', 'level': 1}, {'name': 'Business Intelligence', 'level': 3}, {'name': 'Business Analysis', 'level': 4}]",True,"[{'city': 'Warszawa', 'street': 'Mokotowska 1', 'slug': 'hubquest-senior-business-analyst'}]",form
3,.NET / Senior .NET Developer,Centrum,Kraków,PL,"Centrum, Kraków",net,remote,Simplicity Recruitment,http://www.it-simplicity.pl,10-20,mid,50.0761852,19.9587208,2022-05-22T15:08:02.486Z,True,False,simplicity-recruitment-net-senior-net-developer-krakow,False,"[{'type': 'b2b', 'salary': {'from': 15000, 'to': 30000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/9dadcd5f05a36505b7dd83bcb657e4db1c1786fd.png?1637852124,"[{'name': 'IIS', 'level': 3}, {'name': 'ASP.NET', 'level': 3}, {'name': '.NET C#', 'level': 4}]",True,"[{'city': 'Kraków', 'street': 'Centrum', 'slug': 'simplicity-recruitment-net-senior-net-developer-krakow'}]",form
