,id ,Category,marker_icon,workplace_type,experience_level,city,type,from,to,currency
1906,nethone-software-engineer-with-objective-c-san-jose,Backend,mobile,remote,mid,San Jose,b2b,12000.0,20000.0,pln
1907,nethone-software-engineer-with-objective-c-san-jose,Backend,mobile,remote,mid,San Jose,permanent,12000.0,20000.0,pln
1908,designstripe-software-engineer-frontend-montreal,Backend,javascript,remote,mid,Montreal,b2b,17000.0,23500.0,pln
1909,designstripe-software-engineer-frontend-krakow,Backend,javascript,remote,mid,Kraków,b2b,17000.0,23500.0,pln
1910,designstripe-software-engineer-frontend-poznan,Backend,javascript,remote,mid,Poznań,b2b,17000.0,23500.0,pln
1911,designstripe-software-engineer-frontend-wroclaw,Backend,javascript,remote,mid,Wrocław,b2b,17000.0,23500.0,pln
1912,smart-adserver-backend-engineer-net-core-net-6-wroclaw,Backend,net,remote,mid,Wrocław,permanent,16000.0,20000.0,pln
1913,nethone-software-engineer-with-objective-c-wroclaw,Backend,mobile,remote,mid,Wrocław,b2b,12000.0,20000.0,pln
1914,nethone-software-engineer-with-objective-c-wroclaw,Backend,mobile,remote,mid,Wrocław,permanent,12000.0,20000.0,pln
1915,nethone-software-engineer-with-objective-c-gdansk,Backend,mobile,remote,mid,Gdańsk,b2b,12000.0,20000.0,pln
1916,nethone-software-engineer-with-objective-c-gdansk,Backend,mobile,remote,mid,Gdańsk,permanent,12000.0,20000.0,pln
1917,insart-llc-software-engineer-java-gdansk,Backend,java,remote,senior,Gdańsk,b2b,3000.0,5650.0,usd
1918,insart-llc-software-engineer-java-gdansk,Backend,java,remote,senior,Gdańsk,permanent,4000.0,5000.0,usd
1919,nethone-software-engineer-with-objective-c-lodz,Backend,mobile,remote,mid,Łódź,b2b,12000.0,20000.0,pln
